product_slide1,slide1,product_slide2,slide2
all,my dad asked how I afford rent just from scrolling,all,
all,how is this legal I'm literally just w4tching??,all,
all,thought this was cap until I saw my balance,all,
all,me checking the app thinking there's no way,all,
all,this app deposits more than my boss ever paid me,all,
all,yall said it was fake so here,all,
all,proof that w4tching actually p4ys,all,
all,my earnings from literally just scr0lling,all,
all,all that time I w4tched for free,all,
all,my side hustle vs my actual job income,all,
all,made 542 in 6 hours cause of it,all,
all,6 hours of w4tching paid me this much,all,
