product_slide1,slide1,product_slide2,slide2
all,Stop scrolling if you want to lose weight,all,Link in bio to get started
all,5 things I wish I knew before starting my business,all,Follow for more tips
all,This changed my life in 30 days,all,Try it yourself
all,POV: You finally figured out the secret,all,Comment 'YES' for the guide
all,The truth about making money online,all,Save this for later
all,Day 1 vs Day 30 || @productname,all,Get yours now || Limited stock
all,This is crazy || You need to see this,all,Tag someone who needs this || Follow @username
all,I can't believe this worked,all,Click the link in my bio
all,If you're struggling with this watch,all,Share this with a friend
all,This hack saved me $1000,all,Try it and thank me later
